Date;Open;High;Low;Close;Med_21;Med_7;Med_43;Med_put_strong;Med_put_weak;Med_call_strong;Med_call_weak;%K;%D;over_call;over_put;bollinger_up;bollinger_down;bollinger_up_REVERSE;bollinger_down_REVERSE;RSI;RSI_up_REVERSE;RSI_down_REVERSE;SAR_bear;SAR_bull;Movimento;PIP
2023-01-18 09:05:00;1,07985;1,07996;1,07935;1,07978;1,078344762;1,078958571;1,07778186;0;0;1;0;91,04477612;93,7763181;1;0;1,079733757;1,077087243;1;0;70,46367035;0;0;0;0;1;-0,008
2023-01-18 09:10:00;1,07978;1,08093;1,07977;1,08067;1,078518095;1,079258571;1,077862791;0;0;1;0;90,64748201;93,43658988;1;0;1,080149085;1,077003915;1;0;76,68011524;0;0;0;0;1;0,089
2023-01-18 09:15:00;1,08072;1,08154;1,08071;1,08138;1,07871;1,079654286;1,077960233;0;0;1;0;95,28023599;92,32416471;1;0;1,080696003;1,076849997;1;0;80,25105475;1;0;0;0;0;0,071
2023-01-18 09:20:00;1,08137;1,08137;1,08082;1,081;1,078879048;1,080038571;1,078046977;0;0;1;0;84,07079646;89,99950482;1;0;1,081029763;1,076849237;0;0;73,74250938;0;0;0;0;1;-0,038
2023-01-18 09:25:00;1,08099;1,08205;1,08087;1,08113;1,07904381;1,080395714;1,078131395;0;0;1;0;76,41025641;85,25376295;0;0;1,081322912;1,076909088;0;0;74,50431524;0;0;0;0;0;0,013
2023-01-18 09:30:00;1,08115;1,08125;1,08079;1,08098;1,079204762;1,080685714;1,078217442;0;0;1;0;72,56410256;77,68171848;0;0;1,081549089;1,076989911;0;0;71,91178548;0;0;0;0;1;-0,015
2023-01-18 09:35:00;1,08098;1,08173;1,0809;1,08123;1,079362857;1,080881429;1,07831;0;0;1;0;78,97435897;75,98290598;0;0;1,081784225;1,077082775;0;0;73,56294427;0;0;0;0;1;0,025
2023-01-18 09:40:00;1,08123;1,0826;1,08096;1,08251;1,07958;1,081271429;1,078443023;0;0;1;0;97,97752809;83,17199654;1;0;1,082306551;1,076971449;1;0;80,03439701;1;0;0;0;0;0,128
2023-01-18 09:45:00;1,08252;1,08342;1,08177;1,08207;1,079754762;1,081471429;1,078562326;0;0;1;0;74,38330171;83,77839626;0;0;1,082635035;1,077004965;0;0;73,38442267;0;0;0;0;1;-0,044
2023-01-18 09:50:00;1,08207;1,08334;1,08206;1,08289;1,07996619;1,081687143;1,078693488;0;0;1;0;89,92395437;87,42826139;1;0;1,083097647;1,076977353;0;0;77,1884524;0;0;0;0;0;0,082
2023-01-18 09:55:00;1,08292;1,08364;1,08248;1,08252;1,080155714;1,081904286;1,078824419;0;0;1;0;79,22077922;81,17601177;0;0;1,083401155;1,077073845;0;0;72,17575054;0;0;0;0;1;-0,037
2023-01-18 10:00:00;1,08252;1,08359;1,08251;1,08344;1,08039;1,082234286;1,078969767;0;0;1;0;96,12403101;88,42292153;1;0;1,083862639;1,077074361;0;0;76,29752339;0;0;0;0;0;0,092
2023-01-18 10:05:00;1,08342;1,08388;1,08296;1,08302;1,08059;1,082525714;1,079098605;0;0;1;0;82,5203252;85,95504514;1;0;1,08413832;1,07725068;0;0;71,11803915;0;0;0;0;1;-0,042
2023-01-18 10:10:00;1,08302;1,08367;1,08288;1,08356;1,080830952;1,082858571;1,079238605;0;0;1;0;92,93598234;90,52677952;1;0;1,08443898;1,07747202;0;0;73,59955198;0;0;0;0;1;0,054
2023-01-18 10:15:00;1,08357;1,08512;1,08356;1,08487;1,081141905;1,083195714;1,079404884;0;0;1;0;95,3271028;90,26113678;1;0;1,084977895;1,077563105;0;0;78,43922878;0;0;0;0;0;0,131
2023-01-18 10:20:00;1,08488;1,08501;1,08416;1,08452;1,081425238;1,083545714;1,079565116;0;0;1;0;86,39455782;91,55254766;1;0;1,085322322;1,077809678;0;0;74,50919429;0;0;0;0;0;-0,035
2023-01-18 10:25:00;1,08453;1,08475;1,08416;1,08429;1,081695714;1,083745714;1,079725581;0;0;1;0;80,83140878;87,5176898;1;0;1,085479384;1,078250616;0;0;71,95775563;0;0;0;0;1;-0,023
2023-01-18 10:30:00;1,08429;1,08461;1,08402;1,08457;1,08199381;1,084038571;1,07989186;0;0;1;0;87,29792148;84,84129603;1;0;1,085630369;1,078693631;0;0;73,16259901;0;0;0;0;0;0,028
